datetime,open,close,high,low,volume
2025-08-17 22:00:00+00:00,23795.0,23848.25,23854.25,23792.0,16878
2025-08-17 23:00:00+00:00,23848.0,23851.0,23860.25,23840.0,10182
2025-08-18 00:00:00+00:00,23849.75,23857.5,23866.5,23845.25,11785
2025-08-18 01:00:00+00:00,23857.25,23881.75,23882.0,23855.25,9701
2025-08-18 02:00:00+00:00,23881.25,23877.0,23881.75,23867.25,7460
2025-08-18 03:00:00+00:00,23877.0,23861.75,23880.0,23856.25,7106
2025-08-18 04:00:00+00:00,23857.5,23849.5,23860.0,23845.5,8322
2025-08-18 05:00:00+00:00,23849.0,23852.25,23857.75,23841.0,6822
2025-08-18 06:00:00+00:00,23851.75,23802.5,23854.75,23772.5,22457
2025-08-18 07:00:00+00:00,23802.25,23805.5,23816.25,23780.75,21734
2025-08-18 08:00:00+00:00,23805.5,23778.75,23812.0,23743.5,23843
2025-08-18 09:00:00+00:00,23778.75,23759.0,23782.25,23738.75,14985
2025-08-18 10:00:00+00:00,23759.0,23788.0,23792.0,23757.0,12280
2025-08-18 11:00:00+00:00,23788.0,23770.75,23791.25,23747.25,17628
2025-08-18 12:00:00+00:00,23770.0,23775.5,23777.0,23745.25,19963
2025-08-18 13:00:00+00:00,23775.0,23749.0,23818.25,23735.0,157823
2025-08-18 14:00:00+00:00,23749.0,23778.25,23824.5,23718.75,203021
2025-08-18 15:00:00+00:00,23777.5,23747.0,23784.25,23728.5,107174
2025-08-18 16:00:00+00:00,23747.25,23734.75,23780.25,23722.5,86201
2025-08-18 17:00:00+00:00,23735.25,23760.0,23799.75,23733.0,80324
2025-08-18 18:00:00+00:00,23760.25,23795.5,23803.0,23747.0,63693
2025-08-18 19:00:00+00:00,23795.5,23796.25,23816.0,23784.0,75898
2025-08-18 20:00:00+00:00,23796.75,23789.5,23806.25,23783.5,21587
2025-08-18 22:00:00+00:00,23799.0,23820.5,23839.75,23791.0,0
2025-08-18 23:00:00+00:00,23820.25,23804.75,23826.0,23802.0,8140
2025-08-19 00:00:00+00:00,23805.0,23780.75,23806.0,23762.5,18153
2025-08-19 01:00:00+00:00,23781.5,23771.5,23792.25,23771.0,12052
2025-08-19 02:00:00+00:00,23770.75,23764.5,23784.5,23761.75,10342
2025-08-19 03:00:00+00:00,23763.5,23755.5,23786.75,23751.0,11880
2025-08-19 04:00:00+00:00,23747.5,23758.0,23761.5,23738.75,10649
2025-08-19 05:00:00+00:00,23757.75,23736.25,23763.5,23730.75,12305
2025-08-19 06:00:00+00:00,23735.5,23762.75,23767.0,23734.25,10282
2025-08-19 07:00:00+00:00,23763.0,23770.0,23772.5,23747.75,12992
2025-08-19 08:00:00+00:00,23770.0,23787.25,23788.0,23745.5,14970
2025-08-19 09:00:00+00:00,23787.25,23787.75,23805.0,23781.5,12575
2025-08-19 10:00:00+00:00,23787.75,23763.5,23790.25,23751.0,18063
2025-08-19 11:00:00+00:00,23763.5,23774.75,23777.75,23755.0,15355
2025-08-19 12:00:00+00:00,23774.75,23743.5,23783.25,23739.25,27995
2025-08-19 13:00:00+00:00,23744.0,23678.75,23770.75,23639.25,223575
2025-08-19 14:00:00+00:00,23678.0,23541.25,23728.0,23540.0,290823
2025-08-19 15:00:00+00:00,23540.75,23558.75,23590.0,23514.0,162352
2025-08-19 16:00:00+00:00,23558.75,23482.25,23578.0,23469.75,147759
2025-08-19 17:00:00+00:00,23482.5,23506.75,23516.0,23445.25,120772
2025-08-19 18:00:00+00:00,23506.75,23462.25,23508.0,23444.25,98775
2025-08-19 19:00:00+00:00,23462.0,23469.75,23477.0,23425.25,109838
2025-08-19 20:00:00+00:00,23470.25,23473.25,23487.5,23464.25,29494
2025-08-19 22:00:00+00:00,23456.0,23457.25,23489.0,23449.75,0
2025-08-19 23:00:00+00:00,23458.25,23422.0,23466.5,23413.5,22401
2025-08-20 00:00:00+00:00,23422.75,23414.75,23424.0,23398.0,22640
2025-08-20 01:00:00+00:00,23414.25,23379.0,23431.25,23367.75,28218
2025-08-20 02:00:00+00:00,23379.25,23391.5,23395.0,23368.0,11688
2025-08-20 03:00:00+00:00,23381.19921875,23345.25,23385.0,23338.0,21020
2025-08-20 04:00:00+00:00,23351.25,23351.75,23368.25,23344.75,14059
2025-08-20 05:00:00+00:00,23351.75,23365.75,23366.75,23334.5,13608
2025-08-20 06:00:00+00:00,23365.25,23389.0,23392.5,23344.75,21824
2025-08-20 07:00:00+00:00,23389.0,23399.0,23430.25,23385.75,25778
2025-08-20 08:00:00+00:00,23399.5,23414.5,23421.5,23370.75,26600
2025-08-20 09:00:00+00:00,23414.0,23432.25,23439.5,23406.5,15221
2025-08-20 10:00:00+00:00,23432.75,23425.5,23440.75,23403.0,15470
2025-08-20 11:00:00+00:00,23425.25,23413.75,23452.0,23374.75,30797
2025-08-20 12:00:00+00:00,23413.25,23426.0,23436.5,23396.5,32535
2025-08-20 13:00:00+00:00,23426.75,23173.75,23432.0,23146.0,266726
2025-08-20 14:00:00+00:00,23173.75,23057.25,23214.5,23035.25,337154
2025-08-20 15:00:00+00:00,23057.5,23171.75,23266.25,23046.0,239781
2025-08-20 16:00:00+00:00,23171.5,23233.5,23303.75,23168.75,155685
2025-08-20 17:00:00+00:00,23233.75,23265.25,23315.5,23225.5,137391
2025-08-20 18:00:00+00:00,23263.75,23244.0,23280.5,23191.0,143942
2025-08-20 19:00:00+00:00,23244.25,23325.5,23368.5,23243.75,131248
2025-08-20 20:00:00+00:00,23325.5,23318.75,23331.5,23306.5,22348
2025-08-20 22:00:00+00:00,23322.0,23319.5,23342.75,23312.5,0
2025-08-20 23:00:00+00:00,23320.5,23319.5,23330.0,23306.0,10548
2025-08-21 00:00:00+00:00,23319.25,23292.5,23324.0,23269.0,24136
2025-08-21 01:00:00+00:00,23292.0,23353.0,23355.75,23267.5,24032
2025-08-21 02:00:00+00:00,23353.0,23354.25,23369.5,23341.0,17648
2025-08-21 03:00:00+00:00,23354.75,23344.75,23360.75,23337.0,8772
2025-08-21 04:00:00+00:00,23335.0,23340.5,23347.25,23330.25,8627
2025-08-21 05:00:00+00:00,23341.25,23341.25,23350.0,23311.5,14129
2025-08-21 06:00:00+00:00,23341.0,23355.75,23368.25,23332.25,15472
2025-08-21 07:00:00+00:00,23354.75,23344.0,23359.75,23321.5,19819
2025-08-21 08:00:00+00:00,23343.5,23298.5,23357.5,23296.75,19192
2025-08-21 09:00:00+00:00,23298.0,23304.5,23328.75,23289.75,16156
2025-08-21 10:00:00+00:00,23304.5,23312.5,23318.0,23279.25,22283
2025-08-21 11:00:00+00:00,23312.25,23281.25,23335.0,23264.5,30174
2025-08-21 12:00:00+00:00,23281.5,23223.5,23281.75,23212.75,55817
2025-08-21 13:00:00+00:00,23223.5,23186.5,23290.5,23175.0,243051
2025-08-21 14:00:00+00:00,23186.5,23295.0,23348.25,23155.25,288382
2025-08-21 15:00:00+00:00,23295.5,23204.0,23312.75,23191.0,215225
2025-08-21 16:00:00+00:00,23204.0,23161.25,23214.75,23150.25,153803
2025-08-21 17:00:00+00:00,23161.25,23215.25,23224.0,23119.5,152102
2025-08-21 18:00:00+00:00,23214.5,23225.0,23234.75,23179.25,103776
2025-08-21 19:00:00+00:00,23225.5,23218.25,23254.75,23203.5,106215
2025-08-21 20:00:00+00:00,23218.0,23222.5,23226.25,23199.5,24779
2025-08-21 22:00:00+00:00,23228.0,23244.25,23250.5,23223.25,0
2025-08-21 23:00:00+00:00,23244.25,23248.0,23253.0,23231.25,9998
2025-08-22 00:00:00+00:00,23249.0,23213.25,23250.5,23180.25,29424
2025-08-22 01:00:00+00:00,23213.75,23206.0,23221.75,23192.75,17481
2025-08-22 02:00:00+00:00,23206.5,23207.25,23234.0,23204.0,13458
2025-08-22 03:00:00+00:00,23206.75,23194.75,23210.75,23191.75,11067
2025-08-22 04:00:00+00:00,23203.0,23209.5,23215.75,23201.0,6195
2025-08-22 05:00:00+00:00,23209.25,23191.0,23213.0,23180.75,12259
2025-08-22 06:00:00+00:00,23191.0,23139.0,23191.0,23074.5,38921
2025-08-22 07:00:00+00:00,23138.5,23196.25,23201.0,23134.0,26884
2025-08-22 08:00:00+00:00,23195.75,23253.75,23256.75,23191.0,26167
2025-08-22 09:00:00+00:00,23253.25,23252.25,23254.5,23230.25,13042
2025-08-22 10:00:00+00:00,23251.75,23265.25,23274.75,23251.0,16861
2025-08-22 11:00:00+00:00,23265.5,23252.5,23281.0,23241.0,20138
2025-08-22 12:00:00+00:00,23252.5,23242.5,23275.0,23239.75,29082
2025-08-22 13:00:00+00:00,23242.5,23265.25,23343.0,23206.25,195525
2025-08-22 14:00:00+00:00,23269.5,23602.75,23644.0,23269.5,458359
2025-08-22 15:00:00+00:00,23603.25,23569.0,23650.0,23565.0,151448
2025-08-22 16:00:00+00:00,23569.25,23528.5,23592.0,23507.0,132619
2025-08-22 17:00:00+00:00,23528.25,23605.5,23625.25,23527.75,99066
2025-08-22 18:00:00+00:00,23606.25,23586.25,23617.0,23581.5,67683
2025-08-22 19:00:00+00:00,23586.25,23565.75,23594.0,23531.25,108760
2025-08-22 20:00:00+00:00,23565.25,23569.75,23587.5,23549.75,27748
2025-08-24 22:00:00+00:00,23600.0,23571.0,23610.0,23545.0,22661
2025-08-24 23:00:00+00:00,23571.25,23574.5,23589.25,23558.75,18171
2025-08-25 00:00:00+00:00,23575.0,23555.75,23597.5,23550.25,22057
2025-08-25 01:00:00+00:00,23555.75,23535.5,23558.25,23534.25,14413
2025-08-25 02:00:00+00:00,23534.75,23524.25,23549.75,23518.5,14844
2025-08-25 03:00:00+00:00,23524.5,23548.5,23552.25,23520.25,11243
2025-08-25 04:00:00+00:00,23547.5,23554.25,23559.25,23544.0,7480
2025-08-25 05:00:00+00:00,23555.25,23565.5,23568.5,23550.5,8793
2025-08-25 06:00:00+00:00,23565.75,23522.25,23568.5,23519.25,12898
2025-08-25 07:00:00+00:00,23521.75,23526.0,23536.75,23508.25,18411
2025-08-25 08:00:00+00:00,23526.0,23510.0,23538.5,23505.5,15993
2025-08-25 09:00:00+00:00,23510.0,23504.0,23513.0,23486.25,17720
2025-08-25 10:00:00+00:00,23504.0,23479.75,23504.75,23462.0,18475
2025-08-25 11:00:00+00:00,23480.75,23497.25,23501.0,23469.75,15853
2025-08-25 12:00:00+00:00,23497.25,23479.5,23497.75,23463.0,27391
2025-08-25 13:00:00+00:00,23479.25,23519.5,23520.5,23445.0,194161
2025-08-25 14:00:00+00:00,23519.0,23570.75,23575.0,23504.5,224401
2025-08-25 15:00:00+00:00,23570.75,23600.75,23616.75,23564.5,126364
2025-08-25 16:00:00+00:00,23600.75,23596.25,23614.0,23587.75,68381
2025-08-25 17:00:00+00:00,23596.25,23578.0,23598.0,23557.25,82105
2025-08-25 18:00:00+00:00,23578.25,23552.25,23584.75,23549.25,65588
2025-08-25 19:00:00+00:00,23552.5,23495.5,23573.75,23488.75,97367
2025-08-25 20:00:00+00:00,23495.75,23502.25,23518.5,23485.5,30845
2025-08-25 22:00:00+00:00,23510.25,23511.5,23520.5,23498.25,0
2025-08-25 23:00:00+00:00,23511.75,23496.5,23516.75,23489.0,11531
2025-08-26 00:00:00+00:00,23496.25,23417.75,23509.5,23371.25,83230
2025-08-26 01:00:00+00:00,23417.25,23424.25,23456.75,23410.0,28526
2025-08-26 02:00:00+00:00,23425.0,23448.75,23475.5,23423.25,18867
2025-08-26 03:00:00+00:00,23449.0,23451.75,23457.5,23440.25,8096
2025-08-26 04:00:00+00:00,23456.5,23455.5,23460.25,23440.5,7464
2025-08-26 05:00:00+00:00,23455.5,23476.25,23484.25,23455.5,11377
2025-08-26 06:00:00+00:00,23476.5,23453.75,23484.25,23443.5,15699
2025-08-26 07:00:00+00:00,23454.0,23443.0,23464.75,23415.25,28667
2025-08-26 08:00:00+00:00,23443.0,23459.75,23469.25,23440.0,16845
2025-08-26 09:00:00+00:00,23459.5,23474.25,23481.5,23452.5,11052
2025-08-26 10:00:00+00:00,23474.25,23491.25,23505.75,23470.75,14568
2025-08-26 11:00:00+00:00,23491.25,23469.5,23495.0,23443.25,23196
2025-08-26 12:00:00+00:00,23469.25,23470.5,23480.0,23438.5,28247
2025-08-26 13:00:00+00:00,23470.75,23494.5,23518.5,23427.0,212747
2025-08-26 14:00:00+00:00,23494.25,23522.5,23551.5,23482.0,210441
