datetime,open,high,low,close,volume,spread,real_volume
2025-09-03 18:45:00+00:00,23386.35,23390.05,23365.85,23381.75,1470,120,0
2025-09-03 18:50:00+00:00,23381.55,23395.05,23369.85,23385.55,1407,120,0
2025-09-03 18:55:00+00:00,23385.35,23385.55,23361.35,23371.75,1415,80,0
2025-09-03 19:00:00+00:00,23371.75,23378.95,23358.75,23368.85,1478,80,0
2025-09-03 19:05:00+00:00,23369.35,23393.25,23365.05,23389.95,1395,80,0
2025-09-03 19:10:00+00:00,23389.55,23394.25,23376.25,23382.45,1392,80,0
2025-09-03 19:15:00+00:00,23382.25,23398.95,23376.55,23398.25,1219,80,0
2025-09-03 19:20:00+00:00,23398.45,23420.25,23391.05,23391.05,1345,80,0
2025-09-03 19:25:00+00:00,23391.05,23403.05,23377.45,23389.85,1446,80,0
2025-09-03 19:30:00+00:00,23390.35,23395.05,23381.55,23389.05,1317,80,0
2025-09-03 19:35:00+00:00,23389.25,23394.95,23377.65,23378.75,1249,80,0
2025-09-03 19:40:00+00:00,23378.75,23378.75,23353.15,23368.45,1433,80,0
2025-09-03 19:45:00+00:00,23368.55,23376.55,23355.25,23360.75,1259,80,0
2025-09-03 19:50:00+00:00,23361.05,23367.55,23348.25,23355.45,1375,80,0
2025-09-03 19:55:00+00:00,23355.95,23375.45,23355.95,23367.05,1293,80,0
2025-09-03 20:00:00+00:00,23367.75,23391.25,23366.05,23382.75,1298,80,0
2025-09-03 20:05:00+00:00,23382.25,23392.75,23380.25,23384.75,1136,80,0
2025-09-03 20:10:00+00:00,23385.05,23414.95,23385.05,23402.05,1205,80,0
2025-09-03 20:15:00+00:00,23401.75,23418.25,23401.75,23407.05,1099,80,0
2025-09-03 20:20:00+00:00,23407.05,23412.25,23391.55,23391.95,1133,80,0
2025-09-03 20:25:00+00:00,23391.75,23391.95,23371.05,23383.05,1289,80,0
2025-09-03 20:30:00+00:00,23382.75,23391.25,23365.55,23366.65,1177,80,0
2025-09-03 20:35:00+00:00,23366.75,23372.45,23360.45,23361.05,1264,80,0
2025-09-03 20:40:00+00:00,23360.55,23366.55,23331.55,23333.75,1268,80,0
2025-09-03 20:45:00+00:00,23334.55,23346.85,23303.35,23343.35,1644,80,0
2025-09-03 20:50:00+00:00,23343.55,23357.45,23333.35,23337.25,1436,80,0
2025-09-03 20:55:00+00:00,23337.25,23342.25,23311.95,23322.45,1436,110,0
2025-09-03 21:00:00+00:00,23322.95,23323.45,23296.05,23304.15,1662,120,0
2025-09-03 21:05:00+00:00,23303.65,23312.45,23290.15,23307.15,1593,120,0
