datetime,open,high,low,close,volume,spread,real_volume
2024-06-06 15:00:00+00:00,19050.55,19075.65,19041.15,19050.75,4265,160,0
2024-06-06 15:30:00+00:00,19050.75,19070.25,19010.35,19046.75,5808,230,0
2024-06-06 16:00:00+00:00,19046.45,19067.95,19037.95,19055.95,5302,230,0
2024-06-06 16:30:00+00:00,19054.25,19069.25,18986.15,18986.45,8831,80,0
2024-06-06 17:00:00+00:00,18987.65,19039.35,18986.35,19033.55,8184,90,0
2024-06-06 17:30:00+00:00,19033.45,19059.35,19026.55,19035.95,7479,80,0
2024-06-06 18:00:00+00:00,19035.65,19048.15,19017.65,19022.15,6913,80,0
2024-06-06 18:30:00+00:00,19020.65,19028.45,19005.05,19016.15,6579,80,0
2024-06-06 19:00:00+00:00,19015.85,19029.75,18992.85,19009.65,6397,70,0
2024-06-06 19:30:00+00:00,19010.85,19014.25,18988.45,19009.85,6465,80,0
2024-06-06 20:00:00+00:00,19010.15,19037.35,19002.05,19032.45,6232,70,0
2024-06-06 20:30:00+00:00,19032.35,19043.75,19020.25,19026.15,5706,80,0
2024-06-06 21:00:00+00:00,19025.95,19031.35,18971.35,19004.25,6947,70,0
2024-06-06 21:30:00+00:00,19004.45,19029.55,18992.05,19018.95,6326,80,0
2024-06-06 22:00:00+00:00,19019.25,19027.45,18999.95,19021.35,6366,70,0
2024-06-06 22:30:00+00:00,19021.25,19032.25,18998.45,19024.85,7115,80,0
2024-06-06 23:00:00+00:00,19022.15,19027.35,19001.75,19025.35,2814,100,0
2024-06-06 23:30:00+00:00,19025.55,19026.65,19018.65,19020.95,936,150,0
2024-06-07 01:00:00+00:00,19021.25,19031.35,19019.45,19031.15,586,150,0
2024-06-07 01:30:00+00:00,19031.05,19040.65,19031.05,19039.65,676,150,0
2024-06-07 02:00:00+00:00,19039.85,19040.55,19033.45,19039.05,636,150,0
2024-06-07 02:30:00+00:00,19038.85,19039.05,19033.15,19035.95,988,150,0
2024-06-07 03:00:00+00:00,19035.65,19038.95,19027.85,19032.35,2051,150,0
2024-06-07 03:30:00+00:00,19032.45,19041.85,19030.85,19040.35,1397,150,0
2024-06-07 04:00:00+00:00,19040.55,19043.25,19035.55,19042.05,1630,150,0
2024-06-07 04:30:00+00:00,19042.05,19048.35,19040.95,19043.55,1959,150,0
2024-06-07 05:00:00+00:00,19043.55,19048.85,19040.55,19048.05,1197,150,0
2024-06-07 05:30:00+00:00,19047.75,19049.55,19042.75,19048.55,1117,150,0
2024-06-07 06:00:00+00:00,19048.65,19050.25,19042.25,19042.85,977,150,0
2024-06-07 06:30:00+00:00,19042.75,19046.55,19041.05,19043.75,942,150,0
2024-06-07 07:00:00+00:00,19044.05,19054.55,19043.75,19054.25,794,150,0
2024-06-07 07:30:00+00:00,19054.35,19055.45,19044.55,19051.25,864,150,0
2024-06-07 08:00:00+00:00,19051.15,19055.25,19049.55,19052.25,1028,150,0
2024-06-07 08:30:00+00:00,19052.55,19061.95,19051.25,19054.45,1640,150,0
2024-06-07 09:00:00+00:00,19054.65,19058.55,19045.55,19057.75,1948,150,0
2024-06-07 09:30:00+00:00,19057.75,19062.15,19051.75,19051.85,1416,150,0
2024-06-07 10:00:00+00:00,19052.25,19064.05,19040.95,19044.05,2936,160,0
2024-06-07 10:30:00+00:00,19043.95,19047.85,19034.25,19042.25,2477,150,0
2024-06-07 11:00:00+00:00,19042.55,19057.25,19036.95,19052.25,2819,170,0
2024-06-07 11:30:00+00:00,19052.05,19056.65,19034.65,19038.75,2750,160,0
2024-06-07 12:00:00+00:00,19038.75,19045.15,19032.65,19042.95,2691,170,0
2024-06-07 12:30:00+00:00,19042.85,19045.85,19036.15,19040.45,2268,160,0
2024-06-07 13:00:00+00:00,19040.25,19043.35,19029.15,19034.95,2213,150,0
2024-06-07 13:30:00+00:00,19035.05,19039.75,19025.75,19030.65,2144,160,0
2024-06-07 14:00:00+00:00,19030.55,19031.15,19014.05,19021.65,2583,150,0
2024-06-07 14:30:00+00:00,19021.65,19058.85,19021.25,19048.85,3159,190,0
2024-06-07 15:00:00+00:00,19049.65,19060.95,19048.85,19053.45,3320,190,0
2024-06-07 15:30:00+00:00,19053.75,19054.85,18901.75,18944.45,8453,230,0
2024-06-07 16:00:00+00:00,18943.65,19006.75,18935.75,19000.15,6926,230,0
2024-06-07 16:30:00+00:00,18998.65,19029.05,18954.95,18997.95,8768,90,0
2024-06-07 17:00:00+00:00,18997.35,19019.05,18985.05,19001.45,7749,90,0
2024-06-07 17:30:00+00:00,19002.75,19080.25,18996.75,19038.85,7409,80,0
2024-06-07 18:00:00+00:00,19039.15,19039.15,18978.65,19029.85,7356,80,0
2024-06-07 18:30:00+00:00,19029.65,19051.75,19019.65,19047.25,6427,70,0
