datetime,open,high,low,close,volume,spread,real_volume
2025-05-19 11:15:00+03:00,21081.65,21090.15,21051.45,21054.35,2745,210,0
2025-05-19 11:30:00+03:00,21054.15,21057.95,21033.85,21045.65,2700,210,0
2025-05-19 11:45:00+03:00,21045.85,21066.25,21039.95,21055.95,2179,200,0
2025-05-19 12:00:00+03:00,21055.25,21062.25,21039.05,21061.25,2197,200,0
2025-05-19 12:15:00+03:00,21061.25,21090.05,21058.15,21089.45,1968,190,0
2025-05-19 12:30:00+03:00,21089.25,21100.15,21082.45,21097.65,1895,190,0
2025-05-19 12:45:00+03:00,21097.95,21097.95,21073.15,21085.55,1588,180,0
2025-05-19 13:00:00+03:00,21085.55,21088.05,21052.25,21065.05,1790,190,0
2025-05-19 13:15:00+03:00,21064.85,21090.65,21062.15,21083.95,1909,200,0
2025-05-19 13:30:00+03:00,21083.15,21116.85,21069.15,21113.55,1861,180,0
2025-05-19 13:45:00+03:00,21113.55,21125.35,21100.65,21106.95,1928,190,0
2025-05-19 14:00:00+03:00,21107.25,21132.45,21105.25,21106.95,2289,200,0
2025-05-19 14:15:00+03:00,21106.95,21123.85,21101.35,21102.45,1940,200,0
2025-05-19 14:30:00+03:00,21102.25,21102.45,21083.25,21097.35,1901,190,0
2025-05-19 14:45:00+03:00,21097.45,21132.95,21096.25,21124.95,2132,200,0
2025-05-19 15:00:00+03:00,21124.95,21140.55,21105.85,21119.45,2422,200,0
2025-05-19 15:15:00+03:00,21119.15,21119.15,21090.15,21095.05,2261,200,0
2025-05-19 15:30:00+03:00,21095.05,21122.15,21085.35,21119.85,2514,200,0
2025-05-19 15:45:00+03:00,21119.95,21135.15,21110.45,21133.15,2333,200,0
2025-05-19 16:00:00+03:00,21133.45,21137.65,21081.05,21092.05,2791,200,0
2025-05-19 16:15:00+03:00,21090.55,21123.95,21076.15,21123.95,3542,210,0
2025-05-19 16:30:00+03:00,21128.85,21254.05,21128.85,21253.25,4721,120,0
2025-05-19 16:45:00+03:00,21252.55,21295.65,21238.55,21277.35,4589,120,0
2025-05-19 17:00:00+03:00,21277.65,21367.25,21268.85,21341.55,4494,120,0
2025-05-19 17:15:00+03:00,21341.35,21383.15,21298.05,21326.05,4393,110,0
2025-05-19 17:30:00+03:00,21326.25,21355.85,21304.65,21344.05,4339,110,0
2025-05-19 17:45:00+03:00,21344.65,21355.75,21298.75,21315.05,4326,100,0
2025-05-19 18:00:00+03:00,21314.85,21348.55,21301.65,21340.95,4229,100,0
2025-05-19 18:15:00+03:00,21340.45,21356.35,21318.95,21325.85,4014,80,0
2025-05-19 18:30:00+03:00,21325.95,21397.35,21320.65,21368.85,4058,80,0
2025-05-19 18:45:00+03:00,21368.95,21378.15,21333.35,21355.05,3848,80,0
2025-05-19 19:00:00+03:00,21355.65,21374.05,21349.75,21365.65,3598,80,0
2025-05-19 19:15:00+03:00,21365.75,21398.25,21353.95,21392.45,3524,80,0
2025-05-19 19:30:00+03:00,21392.65,21397.25,21365.75,21374.05,3370,80,0
2025-05-19 19:45:00+03:00,21373.65,21423.65,21367.95,21419.45,3457,80,0
2025-05-19 20:00:00+03:00,21419.45,21464.75,21414.05,21457.65,3662,80,0
2025-05-19 20:15:00+03:00,21458.25,21463.25,21436.75,21441.45,3565,80,0
2025-05-19 20:30:00+03:00,21441.75,21462.05,21429.75,21440.45,3640,80,0
2025-05-19 20:45:00+03:00,21441.55,21442.95,21415.35,21419.85,3579,80,0
2025-05-19 21:00:00+03:00,21420.25,21426.05,21394.45,21399.15,3436,80,0
2025-05-19 21:15:00+03:00,21399.15,21402.05,21371.05,21380.95,3731,80,0
2025-05-19 21:30:00+03:00,21380.95,21417.15,21376.35,21399.25,3352,80,0
2025-05-19 21:45:00+03:00,21398.85,21422.25,21388.85,21417.25,3241,80,0
2025-05-19 22:00:00+03:00,21417.15,21427.65,21390.65,21394.75,3421,80,0
2025-05-19 22:15:00+03:00,21394.65,21397.45,21366.05,21380.55,3394,80,0
2025-05-19 22:30:00+03:00,21380.55,21403.65,21378.65,21384.85,3555,80,0
2025-05-19 22:45:00+03:00,21384.75,21455.75,21382.25,21444.65,4049,80,0
2025-05-19 23:00:00+03:00,21445.36,21448.86,21400.66,21409.96,2705,138,0
2025-05-19 23:15:00+03:00,21410.96,21419.06,21403.26,21418.56,1149,178,0
2025-05-19 23:30:00+03:00,21419.06,21429.86,21414.76,21427.46,1117,178,0
2025-05-19 23:45:00+03:00,21427.06,21434.76,21424.26,21434.56,399,188,0
2025-05-20 01:00:00+03:00,21426.25,21436.75,21424.95,21430.15,561,170,0
2025-05-20 01:15:00+03:00,21429.85,21436.75,21424.95,21426.15,632,160,0
2025-05-20 01:30:00+03:00,21426.15,21428.75,21416.35,21423.15,723,150,0
2025-05-20 01:45:00+03:00,21422.95,21426.15,21420.55,21423.05,447,150,0
2025-05-20 02:00:00+03:00,21422.45,21448.25,21421.25,21441.45,919,150,0
2025-05-20 02:15:00+03:00,21441.25,21454.85,21436.45,21452.85,960,160,0
2025-05-20 02:30:00+03:00,21452.65,21481.95,21450.65,21472.35,1510,170,0
2025-05-20 02:45:00+03:00,21472.25,21475.25,21445.85,21462.05,1206,150,0
2025-05-20 03:00:00+03:00,21461.85,21484.95,21459.05,21466.05,1749,180,0
2025-05-20 03:15:00+03:00,21466.25,21475.65,21460.85,21466.55,1397,170,0
2025-05-20 03:30:00+03:00,21466.65,21477.55,21455.55,21463.25,1504,180,0
2025-05-20 03:45:00+03:00,21463.75,21463.95,21436.75,21437.25,1487,180,0
2025-05-20 04:00:00+03:00,21436.85,21436.85,21397.55,21402.35,2239,190,0
2025-05-20 04:15:00+03:00,21401.95,21402.55,21380.85,21388.75,2009,190,0
2025-05-20 04:30:00+03:00,21388.75,21388.75,21360.95,21369.95,2210,190,0
2025-05-20 04:45:00+03:00,21369.75,21384.35,21360.95,21381.05,1779,170,0
2025-05-20 05:00:00+03:00,21381.15,21389.55,21371.35,21379.55,1688,180,0
2025-05-20 05:15:00+03:00,21379.45,21384.25,21366.05,21367.85,1446,180,0
2025-05-20 05:30:00+03:00,21369.75,21383.45,21357.85,21381.45,1406,170,0
2025-05-20 05:45:00+03:00,21382.75,21382.95,21372.85,21377.25,1056,160,0
2025-05-20 06:00:00+03:00,21376.75,21376.75,21362.95,21365.55,1032,170,0
2025-05-20 06:15:00+03:00,21365.65,21373.15,21361.85,21370.15,865,160,0
2025-05-20 06:30:00+03:00,21370.45,21377.55,21351.35,21369.55,1399,160,0
2025-05-20 06:45:00+03:00,21369.45,21370.15,21355.85,21357.15,976,160,0
2025-05-20 07:00:00+03:00,21357.15,21362.95,21346.15,21350.75,981,160,0
2025-05-20 07:15:00+03:00,21350.85,21357.55,21344.55,21354.95,747,150,0
2025-05-20 07:30:00+03:00,21355.05,21359.45,21349.25,21358.45,1156,150,0
2025-05-20 07:45:00+03:00,21358.45,21374.85,21352.75,21370.35,998,160,0
2025-05-20 08:00:00+03:00,21370.25,21391.75,21368.85,21390.55,1345,170,0
2025-05-20 08:15:00+03:00,21390.85,21404.15,21390.85,21398.85,1183,170,0
2025-05-20 08:30:00+03:00,21398.95,21409.35,21380.05,21381.05,1559,170,0
2025-05-20 08:45:00+03:00,21381.05,21381.05,21338.75,21341.15,1670,170,0
2025-05-20 09:00:00+03:00,21341.15,21346.25,21316.75,21336.45,2241,190,0
2025-05-20 09:15:00+03:00,21337.15,21341.55,21316.85,21325.25,1790,190,0
2025-05-20 09:30:00+03:00,21325.55,21349.25,21324.05,21344.85,1655,190,0
2025-05-20 09:45:00+03:00,21344.75,21354.35,21337.55,21345.35,1462,190,0
2025-05-20 10:00:00+03:00,21346.05,21358.15,21331.25,21352.95,2702,200,0
2025-05-20 10:15:00+03:00,21353.45,21389.35,21348.65,21386.75,2227,190,0
2025-05-20 10:30:00+03:00,21386.55,21401.95,21349.95,21353.55,2141,190,0
2025-05-20 10:45:00+03:00,21353.35,21370.65,21339.15,21367.75,1793,190,0
2025-05-20 11:00:00+03:00,21367.15,21383.65,21338.15,21343.65,2504,190,0
2025-05-20 11:15:00+03:00,21343.65,21371.95,21334.75,21362.05,1960,200,0
2025-05-20 11:30:00+03:00,21361.95,21374.05,21352.85,21370.85,1584,190,0
2025-05-20 11:45:00+03:00,21371.25,21382.35,21354.95,21356.75,1538,180,0
2025-05-20 12:00:00+03:00,21357.25,21375.75,21350.15,21350.75,1628,190,0
2025-05-20 12:15:00+03:00,21350.65,21357.25,21338.25,21340.05,1487,180,0
2025-05-20 12:30:00+03:00,21339.25,21360.75,21339.25,21352.25,1401,180,0
2025-05-20 12:45:00+03:00,21351.45,21353.75,21340.05,21349.05,1260,180,0
