datetime,open,close,high,low,volume
2025-02-16 23:00:00+00:00,22238.0,22212.0,22240.0,22196.0,19817
2025-02-17 00:00:00+00:00,22211.5,22222.25,22227.5,22200.5,17449
2025-02-17 01:00:00+00:00,22221.75,22246.75,22252.5,22215.75,16693
2025-02-17 02:00:00+00:00,22247.25,22268.0,22269.75,22242.5,10795
2025-02-17 03:00:00+00:00,22268.25,22263.5,22272.5,22257.0,8577
2025-02-17 04:00:00+00:00,22263.5,22275.5,22277.0,22250.0,9704
2025-02-18 05:00:00+00:00,22262.0,22253.0,22263.0,22249.0,7497
2025-02-18 06:00:00+00:00,22252.5,22298.0,22303.0,22250.25,15324
2025-02-18 07:00:00+00:00,22297.75,22314.0,22318.25,22296.25,15232
2025-02-18 08:00:00+00:00,22314.75,22293.0,22320.0,22269.75,23514
2025-02-18 09:00:00+00:00,22292.5,22273.75,22306.75,22266.25,18546
2025-02-18 10:00:00+00:00,22273.25,22281.5,22285.0,22262.0,11954
2025-02-18 11:00:00+00:00,22281.5,22276.75,22287.75,22269.75,9062
2025-02-18 12:00:00+00:00,22276.75,22286.0,22301.75,22267.5,19376
2025-02-18 13:00:00+00:00,22285.75,22311.0,22313.25,22269.25,29048
2025-02-18 14:00:00+00:00,22311.25,22202.25,22318.25,22164.75,210597
2025-02-18 15:00:00+00:00,22202.25,22187.5,22207.25,22125.0,229366
2025-02-18 16:00:00+00:00,22187.0,22186.75,22215.75,22164.75,121023
2025-02-18 17:00:00+00:00,22186.5,22195.25,22203.25,22156.75,76614
2025-02-18 18:00:00+00:00,22195.75,22159.0,22206.0,22138.5,80105
2025-02-18 19:00:00+00:00,22159.25,22178.5,22186.75,22103.0,104007
2025-02-18 20:00:00+00:00,22178.25,22239.25,22239.25,22157.5,83057
2025-02-18 21:00:00+00:00,22238.75,22225.0,22249.0,22215.0,26641
2025-02-18 23:00:00+00:00,22227.0,22250.5,22253.25,22221.5,0
2025-02-19 00:00:00+00:00,22249.5,22275.25,22277.5,22245.75,14147
2025-02-19 01:00:00+00:00,22275.75,22273.25,22286.75,22271.25,11162
2025-02-19 02:00:00+00:00,22272.5,22286.0,22291.5,22263.0,11457
2025-02-19 03:00:00+00:00,22286.25,22285.5,22290.25,22278.5,5988
2025-02-19 04:00:00+00:00,22286.0,22267.0,22287.25,22261.75,7611
2025-02-19 05:00:00+00:00,22264.5,22262.25,22269.25,22253.0,10174
2025-02-19 06:00:00+00:00,22262.75,22255.25,22271.75,22255.0,7133
2025-02-19 07:00:00+00:00,22255.5,22249.5,22262.0,22246.25,11080
2025-02-19 08:00:00+00:00,22248.75,22260.5,22275.75,22246.25,17815
2025-02-19 09:00:00+00:00,22260.75,22247.0,22270.0,22241.0,14426
2025-02-19 10:00:00+00:00,22247.0,22220.5,22251.75,22203.0,19759
2025-02-19 11:00:00+00:00,22220.5,22212.75,22225.75,22195.0,19902
2025-02-19 12:00:00+00:00,22212.75,22228.25,22255.75,22208.75,30144
2025-02-19 13:00:00+00:00,22228.5,22205.25,22241.0,22179.0,40159
2025-02-19 14:00:00+00:00,22205.25,22167.75,22221.5,22154.75,168056
2025-02-19 15:00:00+00:00,22168.25,22160.75,22208.25,22118.0,213436
2025-02-19 16:00:00+00:00,22160.75,22238.75,22242.5,22159.5,121014
2025-02-19 17:00:00+00:00,22238.75,22245.25,22256.75,22207.75,84950
2025-02-19 18:00:00+00:00,22245.5,22232.5,22264.25,22194.75,83366
2025-02-19 19:00:00+00:00,22233.0,22295.5,22299.75,22226.25,92446
2025-02-19 20:00:00+00:00,22295.25,22246.75,22295.25,22205.5,123220
2025-02-19 21:00:00+00:00,22246.75,22222.25,22249.25,22213.0,20700
2025-02-19 23:00:00+00:00,22215.0,22217.5,22235.0,22209.75,0
2025-02-20 00:00:00+00:00,22217.75,22227.25,22228.5,22199.25,14211
2025-02-20 01:00:00+00:00,22227.0,22169.5,22229.5,22162.5,21420
2025-02-20 02:00:00+00:00,22169.5,22184.75,22187.75,22157.5,15901
2025-02-20 03:00:00+00:00,22185.25,22180.25,22191.25,22174.0,7983
2025-02-20 04:00:00+00:00,22180.0,22176.75,22183.25,22163.25,8663
2025-02-20 05:00:00+00:00,22176.0,22169.25,22183.25,22168.5,5976
2025-02-20 06:00:00+00:00,22169.0,22159.5,22173.0,22144.0,15638
2025-02-20 07:00:00+00:00,22159.5,22149.0,22170.5,22140.5,15175
2025-02-20 08:00:00+00:00,22149.75,22182.0,22186.0,22148.5,16115
2025-02-20 09:00:00+00:00,22182.5,22205.25,22208.0,22174.75,14550
2025-02-20 10:00:00+00:00,22205.5,22204.0,22219.75,22203.5,11050
2025-02-20 11:00:00+00:00,22204.25,22186.75,22210.0,22174.75,19995
2025-02-20 12:00:00+00:00,22185.5,22207.5,22210.75,22173.75,20211
2025-02-20 13:00:00+00:00,22207.5,22203.25,22212.25,22187.25,22514
2025-02-20 14:00:00+00:00,22203.0,22010.25,22227.0,22000.5,228926
2025-02-20 15:00:00+00:00,22011.0,21989.0,22108.0,21950.75,305930
2025-02-20 16:00:00+00:00,21989.25,22031.0,22076.5,21983.25,158924
2025-02-20 17:00:00+00:00,22030.25,22039.75,22098.0,22023.0,95300
2025-02-20 18:00:00+00:00,22039.75,22068.0,22077.25,22026.75,83493
2025-02-20 19:00:00+00:00,22067.25,22116.5,22127.5,22055.0,101135
2025-02-20 20:00:00+00:00,22116.5,22145.0,22148.0,22084.25,103434
2025-02-20 21:00:00+00:00,22145.25,22137.5,22149.75,22119.0,22363
2025-02-20 23:00:00+00:00,22134.75,22161.5,22173.75,22125.0,0
2025-02-21 00:00:00+00:00,22161.0,22155.75,22169.0,22147.25,10950
2025-02-21 01:00:00+00:00,22155.25,22140.25,22160.75,22126.25,17347
2025-02-21 02:00:00+00:00,22140.75,22150.75,22158.25,22138.75,8415
2025-02-21 03:00:00+00:00,22151.0,22138.0,22154.5,22135.0,7028
2025-02-21 04:00:00+00:00,22138.5,22126.0,22142.25,22121.75,7575
2025-02-21 05:00:00+00:00,22118.0,22125.5,22133.0,22116.75,9271
2025-02-21 06:00:00+00:00,22125.5,22152.25,22155.25,22124.5,8670
2025-02-21 07:00:00+00:00,22152.75,22136.25,22159.5,22136.0,11234
2025-02-21 08:00:00+00:00,22137.25,22148.5,22152.0,22104.25,26263
2025-02-21 09:00:00+00:00,22148.5,22168.0,22171.0,22141.0,14055
2025-02-21 10:00:00+00:00,22168.0,22169.25,22178.0,22156.0,11670
2025-02-21 11:00:00+00:00,22169.25,22165.0,22174.25,22152.25,9120
2025-02-21 12:00:00+00:00,22164.75,22217.5,22220.0,22156.5,29966
2025-02-21 13:00:00+00:00,22216.75,22224.0,22245.75,22206.75,31280
2025-02-21 14:00:00+00:00,22224.0,22096.0,22237.0,22073.0,204754
2025-02-21 15:00:00+00:00,22093.5,22006.25,22111.5,21940.5,315654
2025-02-21 16:00:00+00:00,22006.25,21978.5,22029.5,21960.25,169943
2025-02-21 17:00:00+00:00,21978.75,21852.5,21999.0,21837.5,171053
2025-02-21 18:00:00+00:00,21852.5,21772.25,21854.25,21756.0,204020
2025-02-21 19:00:00+00:00,21772.75,21687.5,21784.5,21666.75,183648
2025-02-21 20:00:00+00:00,21687.25,21682.75,21719.75,21662.0,146522
2025-02-21 21:00:00+00:00,21682.5,21659.5,21699.0,21652.25,29497
