datetime,open,high,low,close,volume,spread,real_volume
2025-09-11 09:00:00+00:00,23856.85,23858.45,23850.25,23856.05,397,160,0
2025-09-11 09:05:00+00:00,23855.65,23864.35,23855.35,23863.55,466,170,0
2025-09-11 09:10:00+00:00,23863.35,23867.25,23861.05,23866.75,377,160,0
2025-09-11 09:15:00+00:00,23866.45,23869.65,23863.25,23866.65,382,160,0
2025-09-11 09:20:00+00:00,23866.45,23874.85,23866.45,23873.35,271,160,0
2025-09-11 09:25:00+00:00,23874.05,23879.05,23873.95,23877.15,313,150,0
2025-09-11 09:30:00+00:00,23877.35,23893.45,23875.85,23884.05,525,160,0
2025-09-11 09:35:00+00:00,23884.15,23894.65,23883.95,23890.15,383,160,0
2025-09-11 09:40:00+00:00,23889.65,23891.95,23885.25,23886.45,332,150,0
2025-09-11 09:45:00+00:00,23886.25,23891.25,23886.25,23887.75,244,150,0
2025-09-11 09:50:00+00:00,23887.45,23889.65,23885.85,23887.15,259,160,0
2025-09-11 09:55:00+00:00,23886.95,23891.05,23883.75,23889.45,313,150,0
2025-09-11 10:00:00+00:00,23889.75,23893.55,23881.35,23884.45,812,160,0
2025-09-11 10:05:00+00:00,23884.55,23891.55,23878.25,23880.25,671,170,0
2025-09-11 10:10:00+00:00,23879.25,23888.85,23878.85,23888.45,552,170,0
2025-09-11 10:15:00+00:00,23888.65,23891.65,23880.95,23885.45,521,170,0
2025-09-11 10:20:00+00:00,23885.55,23895.65,23884.45,23894.85,489,160,0
2025-09-11 10:25:00+00:00,23894.45,23894.75,23882.65,23883.45,521,160,0
2025-09-11 10:30:00+00:00,23883.35,23888.05,23880.85,23885.85,526,170,0
2025-09-11 10:35:00+00:00,23886.15,23895.85,23885.45,23895.15,525,160,0
2025-09-11 10:40:00+00:00,23895.45,23900.75,23892.45,23893.15,490,160,0
2025-09-11 10:45:00+00:00,23892.95,23901.65,23891.15,23900.95,494,160,0
2025-09-11 10:50:00+00:00,23901.15,23905.15,23899.85,23904.75,378,150,0
2025-09-11 10:55:00+00:00,23904.95,23906.85,23900.75,23902.95,362,150,0
2025-09-11 11:00:00+00:00,23902.85,23909.15,23899.15,23905.45,561,160,0
2025-09-11 11:05:00+00:00,23905.55,23906.45,23901.05,23903.45,423,170,0
2025-09-11 11:10:00+00:00,23903.15,23911.45,23902.65,23910.85,359,160,0
2025-09-11 11:15:00+00:00,23910.65,23913.65,23902.95,23904.65,398,150,0
