datetime,open,close,high,low,volume
2023-01-01 00:00:00+00:00,16541.77,16535.38,16544.76,16527.51,486.60903
2023-01-01 00:05:00+00:00,16534.91,16526.67,16540.43,16522.55,391.19043
2023-01-01 00:10:00+00:00,16526.67,16520.69,16530.87,16520.0,294.73889
2023-01-01 00:15:00+00:00,16521.26,16534.94,16537.73,16517.72,481.18777
2023-01-01 00:20:00+00:00,16534.94,16535.54,16540.66,16532.33,309.53189
2023-01-01 00:25:00+00:00,16535.54,16544.19,16545.7,16534.62,311.90922
2023-01-01 00:30:00+00:00,16544.19,16527.83,16544.61,16522.03,394.57703
2023-01-01 00:35:00+00:00,16527.27,16524.04,16530.09,16508.39,612.13471
2023-01-01 00:40:00+00:00,16524.83,16515.43,16525.25,16512.7,358.94459
2023-01-01 00:45:00+00:00,16515.91,16529.16,16535.66,16515.43,357.27214
2023-01-01 00:50:00+00:00,16529.69,16531.84,16533.79,16526.36,176.3522
2023-01-01 00:55:00+00:00,16531.84,16529.67,16536.84,16528.94,190.3878
2023-01-01 01:00:00+00:00,16529.59,16531.02,16537.66,16525.78,421.67234
2023-01-01 01:05:00+00:00,16530.39,16539.2,16540.47,16530.31,283.81866
2023-01-01 01:10:00+00:00,16539.2,16538.21,16541.8,16535.4,271.7558
2023-01-01 01:15:00+00:00,16537.68,16538.59,16540.82,16534.0,179.55931
2023-01-01 01:20:00+00:00,16539.04,16536.22,16539.95,16530.76,272.68762
2023-01-01 01:25:00+00:00,16536.22,16534.6,16536.64,16531.79,209.43828
2023-01-01 01:30:00+00:00,16534.02,16532.0,16535.72,16530.62,176.68573
2023-01-01 01:35:00+00:00,16531.74,16535.19,16539.92,16530.75,274.65824
2023-01-01 01:40:00+00:00,16535.19,16539.94,16543.38,16534.19,341.34788
2023-01-01 01:45:00+00:00,16539.94,16546.33,16547.23,16538.03,356.20818
2023-01-01 01:50:00+00:00,16546.76,16545.91,16547.9,16539.74,323.84182
2023-01-01 01:55:00+00:00,16545.91,16551.47,16556.8,16544.92,478.39283
2023-01-01 02:00:00+00:00,16551.47,16541.43,16551.53,16540.03,364.03712
2023-01-01 02:05:00+00:00,16541.86,16542.94,16543.77,16540.02,144.6581
2023-01-01 02:10:00+00:00,16542.67,16549.03,16551.59,16539.57,394.40131
2023-01-01 02:15:00+00:00,16549.02,16552.72,16554.56,16547.8,266.34461
2023-01-01 02:20:00+00:00,16552.72,16548.18,16553.75,16546.48,324.69582
2023-01-01 02:25:00+00:00,16547.96,16552.89,16555.0,16546.82,213.37761
2023-01-01 02:30:00+00:00,16552.89,16558.65,16559.61,16551.35,308.75424
2023-01-01 02:35:00+00:00,16558.49,16548.99,16559.77,16548.2,258.92701
2023-01-01 02:40:00+00:00,16549.5,16538.77,16550.37,16538.38,311.94753
2023-01-01 02:45:00+00:00,16538.77,16546.22,16547.01,16538.14,244.76672
2023-01-01 02:50:00+00:00,16546.22,16546.33,16547.24,16544.54,309.26629
2023-01-01 02:55:00+00:00,16545.77,16548.19,16549.12,16545.01,177.66402
2023-01-01 03:00:00+00:00,16548.19,16529.36,16548.19,16523.34,910.83767
2023-01-01 03:05:00+00:00,16529.36,16530.4,16532.86,16526.0,327.23296
2023-01-01 03:10:00+00:00,16529.97,16527.87,16531.43,16526.72,321.3515
2023-01-01 03:15:00+00:00,16527.44,16522.52,16530.21,16518.21,600.86304
2023-01-01 03:20:00+00:00,16522.53,16528.72,16533.09,16521.81,416.27217
2023-01-01 03:25:00+00:00,16528.28,16529.89,16531.3,16527.31,236.24307
2023-01-01 03:30:00+00:00,16529.89,16533.77,16534.66,16526.74,276.8324
2023-01-01 03:35:00+00:00,16533.76,16536.83,16537.17,16532.04,242.59628
2023-01-01 03:40:00+00:00,16536.83,16533.68,16537.42,16531.55,206.78322
2023-01-01 03:45:00+00:00,16533.68,16532.56,16534.92,16529.66,198.81249
2023-01-01 03:50:00+00:00,16532.56,16537.09,16537.72,16529.53,300.18477
2023-01-01 03:55:00+00:00,16537.09,16533.04,16537.37,16532.51,204.07093
2023-01-01 04:00:00+00:00,16533.04,16533.55,16535.97,16531.6,214.29744
2023-01-01 04:05:00+00:00,16533.55,16527.15,16535.3,16526.41,391.74102
2023-01-01 04:10:00+00:00,16526.74,16526.12,16529.25,16524.57,233.98809
2023-01-01 04:15:00+00:00,16526.12,16527.43,16530.25,16524.25,327.65382
2023-01-01 04:20:00+00:00,16527.43,16520.71,16528.74,16516.49,749.57637
2023-01-01 04:25:00+00:00,16521.15,16518.59,16523.53,16517.19,334.10689
2023-01-01 04:30:00+00:00,16518.31,16522.66,16523.0,16517.58,286.25888
2023-01-01 04:35:00+00:00,16522.66,16525.58,16525.95,16521.6,280.02785
2023-01-01 04:40:00+00:00,16525.58,16519.47,16525.6,16518.62,282.47214
2023-01-01 04:45:00+00:00,16519.96,16517.43,16520.51,16516.81,296.49536
2023-01-01 04:50:00+00:00,16517.43,16521.09,16526.99,16516.76,465.16791
2023-01-01 04:55:00+00:00,16521.09,16521.85,16522.81,16511.92,423.22332
2023-01-01 05:00:00+00:00,16522.22,16523.67,16523.95,16520.09,254.93841
2023-01-01 05:05:00+00:00,16523.68,16514.99,16524.0,16513.84,368.8876
2023-01-01 05:10:00+00:00,16515.28,16518.37,16519.7,16512.3,402.64459
2023-01-01 05:15:00+00:00,16518.77,16517.59,16521.69,16516.85,328.74876
2023-01-01 05:20:00+00:00,16517.9,16516.82,16519.0,16512.31,376.95167
2023-01-01 05:25:00+00:00,16516.82,16521.07,16522.66,16515.34,316.41365
2023-01-01 05:30:00+00:00,16521.42,16520.15,16522.75,16516.59,193.54652
2023-01-01 05:35:00+00:00,16519.66,16518.16,16521.7,16516.5,187.76248
2023-01-01 05:40:00+00:00,16517.92,16520.02,16520.74,16514.79,287.97125
2023-01-01 05:45:00+00:00,16520.03,16522.06,16523.9,16518.85,289.0846
2023-01-01 05:50:00+00:00,16522.06,16522.47,16524.2,16519.85,212.61128
2023-01-01 05:55:00+00:00,16522.48,16530.71,16534.98,16522.19,497.81097
2023-01-01 06:00:00+00:00,16530.71,16541.39,16543.69,16528.81,416.17234
2023-01-01 06:05:00+00:00,16541.39,16538.85,16541.43,16531.38,349.3546
2023-01-01 06:10:00+00:00,16539.25,16537.72,16541.8,16535.95,183.70625
2023-01-01 06:15:00+00:00,16538.05,16548.41,16549.58,16537.64,315.75353
2023-01-01 06:20:00+00:00,16548.06,16544.42,16548.72,16540.86,343.42514
2023-01-01 06:25:00+00:00,16544.42,16544.63,16550.0,16543.01,316.97666
2023-01-01 06:30:00+00:00,16545.02,16540.97,16545.96,16538.5,214.95157
2023-01-01 06:35:00+00:00,16540.97,16541.27,16542.47,16538.41,228.34085
2023-01-01 06:40:00+00:00,16541.27,16544.68,16545.46,16539.96,257.31213
2023-01-01 06:45:00+00:00,16544.38,16543.52,16546.93,16542.66,292.79447
2023-01-01 06:50:00+00:00,16543.52,16541.34,16543.95,16538.46,237.44661
2023-01-01 06:55:00+00:00,16540.72,16539.79,16541.49,16539.01,188.66791
